user_ID,descriptor
97,"-0.163304
0.0494886
0.104058
-0.0171926
-0.0893616
-0.0281917
-0.0323769
-0.0336509
0.175622
-0.0779311
0.171207
-0.0718061
-0.180326
0.0190697
-0.0581049
0.0869972
-0.237097
-0.03814
0.0322548
-0.0833898
0.121617
0.0494516
0.013275
0.0431107
-0.164066
-0.363544
-0.122315
-0.121645
0.111946
-0.10187
0.0237342
-0.00330026
-0.136395
-0.0201172
-0.00619426
0.0825992
0.0308219
0.0453332
0.144281
-0.076402
-0.121485
0.0522722
0.0655523
0.315706
0.102705
0.166238
-0.0109777
-0.0519074
0.12607
-0.265203
0.0930199
0.111316
0.00826289
0.0160253
0.145552
-0.141186
-0.0038258
0.0962867
-0.190539
0.203256
0.0958416
0.0162788
0.0587761
-0.0133125
0.197401
0.0354225
-0.136248
-0.113598
0.0973215
-0.22693
-0.0020749
0.0596062
-0.0477336
-0.155093
-0.319661
0.0135027
0.486872
0.121294
-0.143127
0.0316772
-0.0536568
-0.0496884
0.153734
0.0568316
-0.0868571
-0.00650118
-0.158625
0.0413279
0.177008
0.0211386
0.0131612
0.236107
0.0371375
0.0551107
-0.0119228
0.0923134
-0.193206
-0.0352702
-0.115899
0.00671863
0.020731
-0.0531667
-0.0157159
0.136236
-0.196048
0.203534
-0.0239283
-0.037005
-0.0560229
0.118686
-0.163653
-0.00715657
0.163405
-0.295172
0.128594
0.200114
0.0303914
0.150514
0.0143566
0.0354486
-0.00929979
0.0348662
-0.138441
-0.075311
-0.0474351
-0.110439
0.0199954
0.0565606"
1,"-0.224099
0.081488
0.0911382
-0.0174711
-0.0537412
-0.0556734
-0.0578279
-0.0932264
0.164961
-0.0769012
0.221257
-0.0267426
-0.162071
-0.0380304
-0.0232366
0.0708377
-0.233331
-0.0486848
-0.000257694
-0.0716195
0.0997145
0.0419526
0.0108108
0.0291914
-0.144148
-0.339036
-0.103701
-0.0727702
0.14493
-0.0652743
0.0310356
-0.00573366
-0.209814
-0.0503451
-0.000270331
0.115049
0.0368941
0.0234703
0.132219
-0.0827049
-0.0850477
-0.00757137
0.0319424
0.288792
0.109554
0.140537
-0.0160431
-0.0682289
0.128173
-0.278402
0.109726
0.108703
0.0453554
0.0144375
0.136537
-0.187819
0.0143366
0.0821296
-0.163135
0.149309
0.0662995
0.0216804
0.0307226
-0.0350415
0.198256
0.0543206
-0.122801
-0.106206
0.109969
-0.152527
0.0173851
0.072301
-0.05083
-0.170136
-0.335175
0.0188218
0.462113
0.130027
-0.186242
0.00901933
-0.0692206
-0.0575684
0.139185
0.0457824
-0.0671632
-0.0259356
-0.164571
0.0548553
0.178081
0.0367062
-0.0159055
0.234913
0.0347279
0.056571
-0.0308753
0.0755069
-0.164094
-0.0313773
-0.105898
-0.00474463
0.0500424
0.0146709
-0.029063
0.168321
-0.166724
0.20541
0.0118602
-0.00803535
-0.0296746
0.0437946
-0.129399
-0.0152384
0.118063
-0.269699
0.159339
0.176678
0.0128012
0.177729
0.00496144
0.0313931
0.0140746
0.0355017
-0.147096
-0.0850087
-0.0427574
-0.113572
0.00850397
0.054149"
2,"-0.126453
0.0526227
0.0598597
0.0322191
-0.108182
-0.0237379
-0.0248563
-0.131656
0.0914472
-0.0602551
0.205112
-0.0391052
-0.221547
-0.0608966
0.0256889
0.0699624
-0.0714461
-0.0498245
-0.0624581
-0.0507988
-0.0215056
-0.0269953
0.0787867
0.0477951
-0.0976105
-0.424665
-0.0920461
-0.128625
-0.0191468
-0.027981
-0.0382197
0.0279698
-0.114309
-0.01017
-0.00233297
0.0221432
0.0077915
-0.0220579
0.242442
-0.0458255
-0.219347
-0.0433513
0.0535498
0.217653
0.167065
0.107659
-0.00775553
-0.0377364
0.127162
-0.202831
0.0730906
0.134723
0.0530749
-0.0523777
0.0568954
-0.124295
-0.00298784
0.0366048
-0.173068
-0.0391372
0.0118369
-0.0546692
-0.0585051
-0.0411248
0.276004
0.160632
-0.100966
-0.0216879
0.106021
-0.184417
0.0161466
0.00126249
-0.159775
-0.214794
-0.27507
0.0817977
0.394764
0.132224
-0.177211
-0.0094956
-0.0764157
0.0136719
0.165883
0.0700464
-0.0963803
-0.0445388
-0.069498
-0.00438645
0.187021
-0.0592404
-0.0273557
0.196677
-0.00485378
0.0558852
0.0221271
0.0179044
-0.0754384
-0.0138957
-0.132763
0.0353641
0.129407
-0.0272565
0.0604589
0.0908771
-0.275269
0.0421116
0.00892358
-0.0659566
0.102522
-0.0115789
-0.126193
-0.110937
0.14209
-0.227843
0.178499
0.15015
-0.0193583
0.184315
0.0759999
0.0496148
-0.00837772
-0.000295522
-0.124959
-0.0384082
0.139059
-0.0216858
0.0504018
-0.0184357"
3,"-0.123481
0.107902
0.00435357
-0.0339126
0.0274992
-0.00249479
-0.00180064
-0.0337335
0.179377
-0.0910748
0.21439
-0.0498573
-0.207644
-0.143986
0.102052
0.060642
-0.108956
-0.142825
-0.0809103
-0.0909338
0.0545091
0.0586897
0.00681887
0.0418677
-0.183546
-0.418783
-0.0818788
-0.160906
-0.0463994
-0.115108
-0.0319279
0.0791872
-0.134797
-0.0697691
0.0782748
0.105596
0.0138028
0.0056977
0.168408
0.00858303
-0.164289
-0.0132109
0.0693531
0.335596
0.147859
0.025661
-0.0118172
0.00179325
0.145467
-0.186858
0.137053
0.127107
0.110794
0.0411968
0.201446
-0.124035
-0.00271036
0.0580779
-0.168456
0.0769988
0.0179215
-0.0844496
-0.0366422
-0.0134196
0.139609
0.0680384
-0.0854989
-0.12338
0.0761053
-0.114337
0.0235554
0.151778
-0.137784
-0.217022
-0.201336
0.0757084
0.392247
0.13192
-0.19142
0.0231303
-0.0327027
-0.097643
0.116344
0.0844368
-0.0377006
0.0447121
-0.109686
0.11489
0.201063
0.0359286
-0.0761627
0.223804
-0.0705956
0.0128637
0.0483078
0.0168495
-0.111861
-0.0271102
-0.121188
-0.0767829
0.111808
-0.0967152
-0.0809702
0.0765276
-0.216425
0.10213
0.0087935
0.00176551
-0.037171
-0.0020691
-0.0774696
0.0125117
0.116197
-0.265223
0.115071
0.124575
0.00886306
0.156905
-0.00438844
-0.0382359
0.042229
-0.0874432
-0.176443
-0.0660504
0.0514897
0.0696295
0.0591857
-0.0347174"
7,"-0.0926317
0.111014
0.0295786
-0.0181812
-0.0580485
0.0171086
-0.0270145
-0.113346
0.242015
-0.134085
0.168998
0.00791097
-0.156507
-0.0441463
-0.0051011
0.147514
-0.137204
-0.171884
-0.00630124
-0.0839749
-0.00719373
0.0544655
-0.0674079
0.105711
-0.150157
-0.388039
-0.0687364
-0.198999
0.0420618
-0.100525
-0.0232117
0.107135
-0.164942
-0.00839166
0.046797
0.0590001
-0.017303
0.0460958
0.156836
0.0523475
-0.176572
0.0541088
0.0423084
0.274059
0.127735
0.0423798
0.0652183
-0.0873824
0.0836271
-0.119636
-0.00151868
0.108594
0.120019
0.080137
0.0196444
-0.232007
-0.0253087
-0.0266193
-0.27263
0.101834
0.0414276
-0.097573
-0.10749
0.0723866
0.272658
0.0998783
-0.120135
-0.144793
0.194282
-0.201035
0.0165781
0.0902564
-0.10597
-0.158198
-0.199481
0.0553469
0.422276
0.0965514
-0.143842
0.0660438
-0.101733
-0.0195279
0.0127921
0.0948453
-0.0875907
-0.0117172
0.0110197
0.0612944
0.162423
0.0662345
-0.0184415
0.146402
-0.0319829
0.0303253
-0.00235435
0.0323738
-0.117846
-0.0510926
-0.0676944
-0.086766
-0.0485813
-0.0410682
0.0191392
0.0952279
-0.244698
0.205079
0.00384136
-0.0566802
-0.0222009
0.155851
-0.0830187
-0.0290111
0.150698
-0.300174
0.250836
0.157025
0.0546795
0.170912
0.00239758
0.0263067
-0.0173393
-0.0532521
-0.164143
-0.0728497
0.058077
-0.084193
0.0726773
-0.0201548"
8,"-0.10181
0.044725
0.0400426
-0.0248661
-0.00696412
-0.0469959
0.0141059
-0.0351822
0.175569
-0.0221838
0.261549
-0.0120172
-0.141797
-0.0935779
0.0222629
0.0926855
-0.139718
-0.0836056
-0.0822746
-0.0241558
0.0420565
0.000933526
0.0387021
0.0428315
-0.133386
-0.432741
-0.0902307
-0.182041
0.0577833
-0.131515
-0.0224571
0.00616699
-0.162191
-0.0549237
-0.041202
0.0462985
-0.0154774
-0.0316353
0.171455
0.0718597
-0.183663
0.0115909
0.0260264
0.303596
0.229991
0.0912495
0.0758505
-0.0188134
0.0344461
-0.270496
0.0636175
0.0851026
0.0744476
0.0326787
0.0643184
-0.142938
0.0018636
-0.0286608
-0.222795
0.0738903
0.0826044
0.0215556
-0.0191954
0.0185563
0.229325
0.087613
-0.13947
-0.0478585
0.0433283
-0.237935
-0.00207946
0.0167494
-0.102435
-0.216628
-0.329848
0.050761
0.430169
0.158796
-0.147739
0.0238737
-0.163584
-0.0333875
0.0769206
0.0256016
-0.0823541
0.046679
-0.145545
0.028067
0.183712
0.0108532
-0.00206844
0.195801
-0.0429265
0.013212
-0.00949381
0.0886025
-0.12075
-0.00179037
-0.0664292
-0.00919269
0.00949027
-0.0708881
0.0158649
0.0794848
-0.271837
0.185364
-0.0033233
-0.051767
0.00640473
0.0405632
-0.11767
-0.0399035
0.142606
-0.227886
0.119833
0.248711
0.0663786
0.164834
0.0804983
0.0252988
-0.0624277
0.0244591
-0.168515
-0.0223096
-0.0646408
-0.00152737
0.0599038
0.0454314"
9,"-0.105603
0.107419
0.0626301
0.010363
-0.0579021
-0.0807665
-0.0715567
-0.146762
0.0915393
-0.0467615
0.270575
-0.0525231
-0.243343
-0.00910437
0.00250187
0.0819703
-0.0976766
-0.0858802
-0.0662554
-0.0502945
0.134767
-0.0333917
0.0374792
0.145468
-0.235577
-0.205989
-0.10845
-0.152034
0.0469495
-0.131721
0.01634
-0.058037
-0.134739
0.015634
9.25884e-05
0.0143776
0.0131797
-0.120551
0.228619
-0.00106032
-0.175885
0.0525083
-0.00980592
0.203239
0.0643535
0.0166862
0.108201
-0.145489
0.159264
-0.217875
0.125462
0.14401
0.145166
0.0261833
0.0834323
-0.203238
0.0255536
0.206503
-0.256123
0.166416
0.0466649
0.0465303
-0.0241016
-0.0430255
0.168013
0.190892
-0.175782
-0.0753513
0.12326
-0.119679
-0.0582702
0.118053
-0.124276
-0.247589
-0.262229
0.062217
0.452478
0.128104
-0.264322
-0.00489425
-0.0899145
-0.0224323
0.0319009
0.0909605
-0.103146
-0.0385914
-0.0903316
0.0396438
0.18804
-0.00184018
0.00897255
0.276334
0.0457764
0.0249504
-0.012372
0.0687661
-0.172719
-0.0603045
-0.00198145
-0.0270976
0.00600982
-0.029845
-0.017571
0.0668205
-0.218228
0.164335
0.0225847
-0.0747325
-0.0374845
0.0705045
-0.0954637
-0.0219205
0.112638
-0.294396
0.179626
0.13562
0.0761669
0.113496
0.0443651
0.0574862
0.0540003
-0.0077265
-0.121962
-0.0601674
0.076056
-0.0735876
0.0140505
-0.00803498"
10,"-0.141416
0.13996
0.0320812
-0.00945027
-0.00850291
0.00608753
0.0265189
-0.084088
0.250447
-0.00947023
0.121582
0.00644193
-0.212499
-0.0960444
-0.0449455
0.111772
-0.146998
-0.144516
-0.0850889
-0.0464967
0.00390412
-0.0276407
0.0367573
0.0359455
-0.150394
-0.34588
-0.052465
-0.148249
0.031171
-0.0698069
0.0346945
0.0156827
-0.191247
-0.031765
-0.0515825
0.0873808
0.0078517
0.0782858
0.189039
0.0628646
-0.197319
0.0648939
-0.0174491
0.335844
0.190021
0.0345236
-0.0144019
-0.0145195
0.121177
-0.244084
0.0811821
0.160496
0.120873
-0.0199231
0.108074
-0.0917099
-0.0379744
0.0743126
-0.256829
0.102654
0.117033
0.0274176
-0.0673705
-0.0293394
0.166165
0.182162
-0.103214
-0.0949666
0.164288
-0.20189
0.0671065
0.0378874
-0.0790789
-0.152687
-0.262618
0.0428713
0.383401
0.141809
-0.12291
-0.0176344
-0.13657
0.0304662
0.0517875
-0.0382663
-0.153781
0.0437825
-0.0741128
0.0237192
0.126841
0.0674289
-0.0178685
0.217146
0.00292377
-0.0159576
-0.0198426
-0.0409858
-0.0847526
-0.0357285
-0.166836
-0.0169529
-0.0421054
-0.0905493
0.0755381
0.0472804
-0.183534
0.101685
0.0472924
0.0259661
0.00343796
0.152387
-0.165032
-0.0602654
0.192428
-0.213145
0.211996
0.133456
-0.0123132
0.0373119
0.0740522
0.0450853
-0.0419168
0.0236418
-0.0799549
-0.0248448
0.00221202
-0.0787714
0.067892
0.0511904"
11,"-0.106497
0.0736191
0.0803196
-0.0030065
-0.0266118
-0.0248705
0.0130936
-0.0290921
0.145924
0.0314477
0.185539
-0.0697695
-0.280013
0.070488
-0.122972
0.128847
-0.0689528
-0.00376535
-0.110543
-0.161118
0.127601
0.0464236
0.0360207
0.0411423
-0.211834
-0.205347
-0.10985
-0.129445
0.0257792
-0.0705134
-0.013573
-0.0317876
-0.19009
-0.0838577
-0.00788871
0.0307639
-0.0260666
-0.0809456
0.186196
-0.0153779
-0.126819
0.079414
0.0772745
0.260014
0.144627
0.0497357
-0.00498939
-0.0155669
0.0917882
-0.316902
0.13513
0.0856209
0.083219
0.103063
0.0983719
-0.194567
0.0306507
0.163969
-0.201557
0.107843
0.06624
0.0171439
0.00322074
-0.029793
0.127286
0.144985
-0.164508
-0.0818999
0.0944594
-0.171937
0.0825938
0.0704781
-0.106464
-0.183845
-0.360045
0.146943
0.464717
0.154427
-0.163158
-0.00791008
-0.0599631
0.0724803
0.116803
-0.0129674
-0.0854432
-0.017519
-0.110706
0.0319438
0.12339
-0.0241832
-0.0920461
0.251761
0.00934749
0.0308179
0.0103919
0.164735
-0.167502
-0.0643023
-0.0692475
0.117247
0.0295412
-0.0732894
-0.0127958
0.108741
-0.135054
0.120261
-0.0240441
-0.0266974
-0.0852122
0.0715763
-0.170971
0.00022268
0.149709
-0.263741
0.150591
0.159746
-0.0753323
0.110822
0.093635
0.0477511
0.0165468
0.0560075
-0.144963
-0.0872696
0.0398635
-0.055903
0.0266173
0.0697388"
12,"-0.108738
0.0484894
0.070827
-0.0263971
-0.0674443
-0.0325568
-0.0319138
-0.0602221
0.0725173
-0.0772633
0.152642
-0.0609002
-0.184782
-0.060801
-0.0125412
0.0855858
-0.107061
-0.118088
-0.196736
-0.139133
-0.0316151
0.0683616
0.0277498
0.0123298
-0.169793
-0.338407
-0.0653927
-0.0801011
0.039528
-0.130103
-0.030614
0.00418638
-0.168285
-0.0224471
-0.0215256
0.0997035
-0.0488488
-0.0984594
0.220619
0.0197053
-0.147511
0.0952454
0.0890777
0.296819
0.180264
0.0243105
0.0383429
-0.0737005
0.117454
-0.19097
0.0846741
0.167184
0.112705
0.0600479
0.108972
-0.086418
-0.008288
0.119307
-0.128743
0.0761524
0.0593603
0.0217449
-0.0222577
-0.122073
0.167645
0.0695512
-0.104437
-0.0879601
0.0869057
-0.190825
-0.0353031
0.0564078
-0.0832809
-0.17053
-0.250911
0.0848137
0.394262
0.19612
-0.164842
0.00994367
-0.0776735
-0.108706
0.057021
0.0737244
-0.142057
0.0300968
-0.0612123
0.111309
0.222756
0.037355
-0.000182941
0.191428
0.0740801
-0.0110342
-0.00748087
-0.0265789
-0.161794
0.00186678
-0.0695049
0.0137129
0.0683615
-0.108834
0.0432033
0.0781393
-0.162107
0.192362
0.00281921
-0.0435257
0.0326284
0.075163
-0.0864032
-0.0525364
0.160745
-0.226092
0.0847944
0.184001
0.0493253
0.125951
0.104256
0.116526
-0.0186052
0.0806914
-0.15244
-0.0498897
0.025557
-0.0094161
0.102084
0.0837631"
